microservice, begin request time, end request time, client ip, client port, function, microservice instance
aggr-ms, 2018-05-26 15:02:52.003000, 2018-05-26 15:02:52.963000, 172.18.0.1, 38802, GET -> aggr-ms/playlists/songs/1, 10370faa29fc:5004
playlists-ms, 2018-05-26 15:02:52.789000, 2018-05-26 15:02:52.945000, 172.18.0.7, 52370, GET -> playlists-ms/playlists/songs/1, 55e6783ec759:5002
songs-ms, 2018-05-26 15:06:03.547000, 2018-05-26 15:06:03.690000, 172.18.0.9, 51292, GET -> songs-ms/songs, 4a2a59ce69ab:5001
songs-ms, 2018-05-26 15:06:06.815000, 2018-05-26 15:06:06.852000, 172.18.0.9, 51302, GET -> songs-ms/songs, 4a2a59ce69ab:5001
songs-ms, 2018-05-26 15:06:08.448000, 2018-05-26 15:06:08.458000, 172.18.0.9, 51314, GET -> songs-ms/songs, 4a2a59ce69ab:5001
songs-ms, 2018-05-26 15:06:10.099000, 2018-05-26 15:06:10.109000, 172.18.0.9, 51324, GET -> songs-ms/songs, 4a2a59ce69ab:5001
songs-ms, 2018-05-26 15:06:11.508000, 2018-05-26 15:06:11.518000, 172.18.0.9, 51334, GET -> songs-ms/songs, 4a2a59ce69ab:5001
songs-ms, 2018-05-26 15:06:13.796000, 2018-05-26 15:06:13.804000, 172.18.0.9, 51344, GET -> songs-ms/songs, 4a2a59ce69ab:5001
aggr-ms, 2018-05-26 15:06:25.468000, 2018-05-26 15:06:25.580000, 172.18.0.1, 39036, GET -> aggr-ms/playlists/songs/1, 10370faa29fc:5004
playlists-ms, 2018-05-26 15:06:25.478000, 2018-05-26 15:06:25.492000, 172.18.0.7, 52604, GET -> playlists-ms/playlists/songs/1, 55e6783ec759:5002
songs-ms, 2018-05-26 15:06:25.499000, 2018-05-26 15:06:25.510000, 172.18.0.7, 52610, GET -> songs-ms/songs, 4a2a59ce69ab:5001
songs-ms, 2018-05-26 15:06:25.516000, 2018-05-26 15:06:25.526000, 172.18.0.7, 52620, GET -> songs-ms/songs, 4a2a59ce69ab:5001
songs-ms, 2018-05-26 15:06:25.533000, 2018-05-26 15:06:25.544000, 172.18.0.7, 52626, GET -> songs-ms/songs, 4a2a59ce69ab:5001
songs-ms, 2018-05-26 15:06:25.549000, 2018-05-26 15:06:25.559000, 172.18.0.7, 52636, GET -> songs-ms/songs, 4a2a59ce69ab:5001
songs-ms, 2018-05-26 15:06:25.565000, 2018-05-26 15:06:25.576000, 172.18.0.7, 52644, GET -> songs-ms/songs, 4a2a59ce69ab:5001
